dataset,model_type,lambda,distance_type,epoch,train_loss,train_acc,reg_term,embedding_norm,embedding_similarity,test_loss,test_acc,accuracy,precision,recall,f1_score,TP,FP,FN,TN,train_aucc,test_aucc
CIFAR10,CNN,1.25,minkowski,3,2.30273,9.768,0.0,0.0,0.01568,2.30264,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,4,2.30266,9.808,0.0,0.0,0.01568,2.3026,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,5,2.30264,9.944,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,6,2.30264,9.948,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,7,2.30264,9.778,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,8,2.30263,9.596,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,9,2.30263,9.87,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,10,2.30264,9.61,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,11,2.30264,9.738,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,12,2.30264,9.794,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,13,2.30264,9.654,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,14,2.30264,9.806,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,15,2.30264,9.638,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,16,2.30263,9.652,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,17,2.30263,9.74,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,18,2.30264,9.754,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,19,2.30263,9.78,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,minkowski,20,2.30264,9.906,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,185.78,190.0
CIFAR10,CNN,0.1,chebyshev,1,1.66231,45.498,1.22347,10.65725,0.664,1.27873,54.65,0.5465,0.54554,0.5465,0.53509,5465,4535,4535,85465,,
CIFAR10,CNN,0.1,chebyshev,2,1.32576,58.044,1.32712,11.09294,0.61928,1.12402,60.63,0.6063,0.60968,0.6063,0.6026,6063,3937,3937,86063,,
CIFAR10,CNN,0.1,chebyshev,3,1.17117,63.546,1.26444,10.34717,0.60231,1.00977,65.23,0.6523,0.65424,0.6523,0.65247,6523,3477,3477,86523,,
CIFAR10,CNN,0.1,chebyshev,4,1.06218,67.26,1.21507,9.79642,0.58701,0.9561,66.26,0.6626,0.67594,0.6626,0.66347,6626,3374,3374,86626,,
CIFAR10,CNN,0.1,chebyshev,5,0.98575,70.042,1.17177,9.30902,0.57292,0.90348,68.52,0.6852,0.68348,0.6852,0.68207,6852,3148,3148,86852,,
CIFAR10,CNN,0.1,chebyshev,6,0.92113,72.08,1.14161,8.92339,0.55899,0.87111,69.69,0.6969,0.6991,0.6969,0.69688,6969,3031,3031,86969,,
CIFAR10,CNN,0.1,chebyshev,7,0.86428,74.198,1.12073,8.63478,0.54625,0.85606,69.89,0.6989,0.70092,0.6989,0.69706,6989,3011,3011,86989,,
CIFAR10,CNN,0.1,chebyshev,8,0.81714,75.95,1.0995,8.33735,0.53484,0.84567,70.78,0.7078,0.71083,0.7078,0.70348,7078,2922,2922,87078,,
CIFAR10,CNN,0.1,chebyshev,9,0.76856,77.388,1.08919,8.15033,0.5248,0.83004,70.72,0.7072,0.70919,0.7072,0.70567,7072,2928,2928,87072,,
CIFAR10,CNN,0.1,chebyshev,10,0.72701,78.894,1.07738,7.94761,0.51489,0.84608,70.5,0.705,0.72077,0.705,0.70836,7050,2950,2950,87050,,
CIFAR10,CNN,0.1,chebyshev,11,0.68666,80.434,1.06978,7.82183,0.50764,0.81033,72.18,0.7218,0.72253,0.7218,0.72023,7218,2782,2782,87218,,
CIFAR10,CNN,0.1,chebyshev,12,0.64861,81.88,1.06846,7.73209,0.50105,0.824,71.48,0.7148,0.71842,0.7148,0.7131,7148,2852,2852,87148,,
CIFAR10,CNN,0.1,chebyshev,13,0.61297,83.198,1.06896,7.63511,0.4909,0.84496,70.88,0.7088,0.71282,0.7088,0.70677,7088,2912,2912,87088,,
CIFAR10,CNN,0.1,chebyshev,14,0.57448,84.466,1.07001,7.56465,0.48399,0.81422,72.48,0.7248,0.72477,0.7248,0.7235,7248,2752,2752,87248,,
CIFAR10,CNN,0.1,chebyshev,15,0.54164,85.708,1.07502,7.52142,0.4776,0.86131,71.59,0.7159,0.71993,0.7159,0.71488,7159,2841,2841,87159,,
CIFAR10,CNN,0.1,chebyshev,16,0.51234,86.738,1.08219,7.49938,0.47052,0.84647,71.31,0.7131,0.71508,0.7131,0.71089,7131,2869,2869,87131,,
CIFAR10,CNN,0.1,chebyshev,17,0.47765,88.25,1.08677,7.48834,0.46627,0.87027,71.49,0.7149,0.71819,0.7149,0.71267,7149,2851,2851,87149,,
CIFAR10,CNN,0.1,chebyshev,18,0.44908,89.416,1.09669,7.49933,0.4616,0.87178,72.13,0.7213,0.72538,0.7213,0.72102,7213,2787,2787,87213,,
CIFAR10,CNN,0.1,chebyshev,19,0.42113,90.368,1.10459,7.4897,0.4553,0.88968,71.95,0.7195,0.72364,0.7195,0.72101,7195,2805,2805,87195,,
CIFAR10,CNN,0.1,chebyshev,20,0.39264,91.62,1.11496,7.52579,0.4519,0.91727,71.27,0.7127,0.71467,0.7127,0.71192,7127,2873,2873,87127,1476.419,1320.67
CIFAR10,CNN,0.25,chebyshev,1,1.80644,42.75,0.70307,8.84629,0.63041,1.38218,50.21,0.5021,0.52037,0.5021,0.48101,5021,4979,4979,85021,,
CIFAR10,CNN,0.25,chebyshev,2,1.49095,54.492,0.75829,9.49113,0.6011,1.21556,57.11,0.5711,0.57448,0.5711,0.56771,5711,4289,4289,85711,,
CIFAR10,CNN,0.25,chebyshev,3,1.33057,60.194,0.71681,9.04772,0.60315,1.11937,61.21,0.6121,0.60578,0.6121,0.60011,6121,3879,3879,86121,,
CIFAR10,CNN,0.25,chebyshev,4,1.20823,64.384,0.68773,8.68779,0.60221,1.01635,64.93,0.6493,0.6554,0.6493,0.64679,6493,3507,3507,86493,,
CIFAR10,CNN,0.25,chebyshev,5,1.11945,67.28,0.66612,8.34053,0.59356,0.96491,67.09,0.6709,0.67408,0.6709,0.6696,6709,3291,3291,86709,,
CIFAR10,CNN,0.25,chebyshev,6,1.05095,69.554,0.64081,7.9906,0.5892,0.92029,67.94,0.6794,0.67716,0.6794,0.67554,6794,3206,3206,86794,,
CIFAR10,CNN,0.25,chebyshev,7,0.99478,71.282,0.61678,7.65862,0.58378,0.89866,68.49,0.6849,0.68729,0.6849,0.68052,6849,3151,3151,86849,,
CIFAR10,CNN,0.25,chebyshev,8,0.94726,72.788,0.59739,7.37716,0.57967,0.88909,69.67,0.6967,0.7067,0.6967,0.6969,6967,3033,3033,86967,,
CIFAR10,CNN,0.25,chebyshev,9,0.90605,74.102,0.58007,7.11231,0.57439,0.87487,70.02,0.7002,0.69942,0.7002,0.69427,7002,2998,2998,87002,,
CIFAR10,CNN,0.25,chebyshev,10,0.86809,75.284,0.56553,6.90333,0.57079,0.85722,70.27,0.7027,0.70776,0.7027,0.70075,7027,2973,2973,87027,,
CIFAR10,CNN,0.25,chebyshev,11,0.83076,76.52,0.55454,6.70507,0.564,0.82239,71.63,0.7163,0.71491,0.7163,0.71465,7163,2837,2837,87163,,
CIFAR10,CNN,0.25,chebyshev,12,0.79896,77.454,0.54156,6.51589,0.56185,0.82903,71.41,0.7141,0.72185,0.7141,0.71461,7141,2859,2859,87141,,
CIFAR10,CNN,0.25,chebyshev,13,0.76859,78.482,0.53196,6.36439,0.5577,0.8158,71.98,0.7198,0.71686,0.7198,0.71669,7198,2802,2802,87198,,
CIFAR10,CNN,0.25,chebyshev,14,0.73906,79.616,0.52431,6.23834,0.55468,0.81644,71.91,0.7191,0.71871,0.7191,0.71697,7191,2809,2809,87191,,
CIFAR10,CNN,0.25,chebyshev,15,0.70888,80.538,0.51796,6.12056,0.55043,0.81613,71.8,0.718,0.72386,0.718,0.71828,7180,2820,2820,87180,,
CIFAR10,CNN,0.25,chebyshev,16,0.6817,81.436,0.513,6.01697,0.54536,0.8214,71.82,0.7182,0.72234,0.7182,0.7174,7182,2818,2818,87182,,
CIFAR10,CNN,0.25,chebyshev,17,0.65905,82.254,0.50798,5.91823,0.54064,0.80773,72.85,0.7285,0.72918,0.7285,0.72758,7285,2715,2715,87285,,
CIFAR10,CNN,0.25,chebyshev,18,0.634,83.158,0.50369,5.8442,0.53712,0.81147,72.43,0.7243,0.72641,0.7243,0.7231,7243,2757,2757,87243,,
CIFAR10,CNN,0.25,chebyshev,19,0.60999,83.952,0.50134,5.76785,0.53367,0.81429,72.79,0.7279,0.72922,0.7279,0.72729,7279,2721,2721,87279,,
CIFAR10,CNN,0.25,chebyshev,20,0.59153,84.436,0.49741,5.71011,0.53055,0.84984,71.68,0.7168,0.72485,0.7168,0.71588,7168,2832,2832,87168,1396.363,1306.295
CIFAR10,CNN,0.5,chebyshev,1,2.07524,21.298,0.18317,5.49714,0.58574,1.78405,27.32,0.2732,0.25552,0.2732,0.19082,2732,7268,7268,82732,,
CIFAR10,CNN,0.5,chebyshev,2,1.84892,31.372,0.25474,8.2429,0.5943,1.6734,34.49,0.3449,0.31887,0.3449,0.30783,3449,6551,6551,83449,,
CIFAR10,CNN,0.5,chebyshev,3,1.75498,36.34,0.25174,8.61743,0.62503,1.59035,38.57,0.3857,0.34558,0.3857,0.34905,3857,6143,6143,83857,,
CIFAR10,CNN,0.5,chebyshev,4,1.68621,39.746,0.24615,8.684,0.63841,1.5356,41.41,0.4141,0.39542,0.4141,0.37946,4141,5859,5859,84141,,
CIFAR10,CNN,0.5,chebyshev,5,1.62163,42.32,0.24297,8.66037,0.64402,1.4778,43.82,0.4382,0.41249,0.4382,0.40475,4382,5618,5618,84382,,
CIFAR10,CNN,0.5,chebyshev,6,1.57057,44.112,0.23966,8.57815,0.64939,1.44897,45.01,0.4501,0.42454,0.4501,0.41348,4501,5499,5499,84501,,
CIFAR10,CNN,0.5,chebyshev,7,1.52809,45.93,0.23556,8.42242,0.65182,1.40405,46.1,0.461,0.44188,0.461,0.42972,4610,5390,5390,84610,,
CIFAR10,CNN,0.5,chebyshev,8,1.49469,47.326,0.23002,8.14507,0.65088,1.39507,46.84,0.4684,0.44605,0.4684,0.44096,4684,5316,5316,84684,,
CIFAR10,CNN,0.5,chebyshev,9,1.46515,48.328,0.22493,7.91404,0.65022,1.35414,47.78,0.4778,0.45742,0.4778,0.44955,4778,5222,5222,84778,,
CIFAR10,CNN,0.5,chebyshev,10,1.43776,49.562,0.22008,7.69155,0.65156,1.3564,48.24,0.4824,0.45707,0.4824,0.45132,4824,5176,5176,84824,,
CIFAR10,CNN,0.5,chebyshev,11,1.4113,50.36,0.21515,7.49759,0.6514,1.33642,49.41,0.4941,0.46773,0.4941,0.46911,4941,5059,5059,84941,,
CIFAR10,CNN,0.5,chebyshev,12,1.3851,51.426,0.21124,7.34369,0.65224,1.31512,50.49,0.5049,0.48168,0.5049,0.47918,5049,4951,4951,85049,,
CIFAR10,CNN,0.5,chebyshev,13,1.36306,52.274,0.20743,7.15968,0.65137,1.2905,51.7,0.517,0.50086,0.517,0.49954,5170,4830,4830,85170,,
CIFAR10,CNN,0.5,chebyshev,14,1.34223,53.128,0.2041,7.01672,0.6511,1.28127,51.39,0.5139,0.49768,0.5139,0.49211,5139,4861,4861,85139,,
CIFAR10,CNN,0.5,chebyshev,15,1.31991,53.94,0.20047,6.89568,0.65235,1.27079,52.37,0.5237,0.49897,0.5237,0.50105,5237,4763,4763,85237,,
CIFAR10,CNN,0.5,chebyshev,16,1.3005,54.58,0.19792,6.77536,0.65255,1.27857,52.21,0.5221,0.5113,0.5221,0.5044,5221,4779,4779,85221,,
CIFAR10,CNN,0.5,chebyshev,17,1.28152,55.21,0.19587,6.66376,0.65181,1.25133,52.69,0.5269,0.50926,0.5269,0.50742,5269,4731,4731,85269,,
CIFAR10,CNN,0.5,chebyshev,18,1.26388,55.972,0.19268,6.54813,0.65123,1.23419,54.54,0.5454,0.53002,0.5454,0.53362,5454,4546,4546,85454,,
CIFAR10,CNN,0.5,chebyshev,19,1.24722,56.834,0.19064,6.45932,0.65184,1.25132,52.85,0.5285,0.51927,0.5285,0.50769,5285,4715,4715,85285,,
CIFAR10,CNN,0.5,chebyshev,20,1.23078,57.384,0.18896,6.39018,0.65184,1.26931,52.51,0.5251,0.52233,0.5251,0.51293,5251,4749,4749,85251,908.101,899.825
CIFAR10,CNN,0.75,chebyshev,1,2.30363,9.772,0.00027,0.00284,0.02445,2.30292,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,2,2.30287,9.892,0.0,0.0,0.01568,2.30266,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,3,2.30271,9.884,0.0,0.0,0.01568,2.3026,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,4,2.30265,9.882,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,5,2.30264,9.988,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,6,2.30264,9.52,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,7,2.30263,9.69,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,8,2.30264,9.586,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,9,2.30263,9.492,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,10,2.30264,9.89,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,11,2.30264,9.704,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,12,2.30264,9.704,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,13,2.30263,9.686,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,14,2.30264,9.642,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,15,2.30264,9.77,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,16,2.30263,9.666,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,17,2.30263,9.772,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,18,2.30264,9.912,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,19,2.30264,9.678,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,0.75,chebyshev,20,2.30264,9.68,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,185.084,190.0
CIFAR10,CNN,1.0,chebyshev,1,2.30341,9.998,0.00022,0.00147,0.01863,2.30282,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,2,2.30278,10.0,0.0,0.0,0.01568,2.30264,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,3,2.30268,9.95,0.0,0.0,0.01568,2.3026,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,4,2.30265,9.882,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,5,2.30264,9.916,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,6,2.30264,9.924,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,7,2.30264,9.564,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,8,2.30264,9.75,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,9,2.30263,9.738,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,10,2.30263,9.782,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,11,2.30264,9.746,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,12,2.30264,9.706,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,13,2.30264,9.728,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,14,2.30264,9.678,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,15,2.30264,9.768,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,16,2.30264,9.83,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,17,2.30264,9.968,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,18,2.30264,9.75,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,19,2.30264,9.642,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.0,chebyshev,20,2.30263,9.8,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,186.221,190.0
CIFAR10,CNN,1.25,chebyshev,1,2.3035,10.006,0.00021,0.00151,0.01838,2.30289,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,2,2.30282,10.0,0.0,0.0,0.01568,2.30269,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,3,2.30269,9.738,0.0,0.0,0.01568,2.30261,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,4,2.30265,9.842,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,5,2.30264,9.818,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,6,2.30264,9.772,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,7,2.30264,9.718,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,8,2.30263,9.81,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,9,2.30264,9.58,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,10,2.30264,9.722,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,11,2.30264,9.704,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,12,2.30263,9.94,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,13,2.30263,9.632,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,14,2.30264,9.762,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,15,2.30264,9.58,0.0,0.0,0.01568,2.30258,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,16,2.30264,9.788,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,17,2.30264,9.614,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,18,2.30264,9.774,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,19,2.30264,9.694,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,,
CIFAR10,CNN,1.25,chebyshev,20,2.30263,9.824,0.0,0.0,0.01568,2.30259,10.0,0.1,0.01,0.1,0.01818,1000,9000,9000,81000,185.403,190.0
CIFAR10,CNN,0.1,canberra,1,4.41249,44.446,28.63521,19.33023,0.75002,1.29959,53.75,0.5375,0.54037,0.5375,0.53574,5375,4625,4625,85375,,
CIFAR10,CNN,0.1,canberra,2,4.14048,56.252,29.05499,23.56119,0.71766,1.1518,59.85,0.5985,0.60048,0.5985,0.59718,5985,4015,4015,85985,,
CIFAR10,CNN,0.1,canberra,3,3.95878,60.654,28.30204,23.82889,0.70266,1.14478,59.48,0.5948,0.6069,0.5948,0.59036,5948,4052,4052,85948,,
CIFAR10,CNN,0.1,canberra,4,3.79749,63.836,27.61663,23.70116,0.68067,1.06126,62.74,0.6274,0.64115,0.6274,0.62463,6274,3726,3726,86274,,
CIFAR10,CNN,0.1,canberra,5,3.68128,62.718,26.22614,25.05817,0.69709,1.14446,59.7,0.597,0.61661,0.597,0.58504,5970,4030,4030,85970,,
CIFAR10,CNN,0.1,canberra,6,3.51232,64.596,24.98084,26.17216,0.67271,1.07837,62.63,0.6263,0.63404,0.6263,0.62012,6263,3737,3737,86263,,
CIFAR10,CNN,0.1,canberra,7,3.37698,67.05,24.30777,25.37808,0.6405,0.99251,65.83,0.6583,0.66044,0.6583,0.65737,6583,3417,3417,86583,,
CIFAR10,CNN,0.1,canberra,8,3.28178,68.754,23.84711,25.39192,0.63145,0.99575,65.09,0.6509,0.66856,0.6509,0.65316,6509,3491,3491,86509,,
CIFAR10,CNN,0.1,canberra,9,3.20329,70.362,23.49317,25.23179,0.61919,0.95853,67.35,0.6735,0.67933,0.6735,0.67298,6735,3265,3265,86735,,
CIFAR10,CNN,0.1,canberra,10,3.13569,71.76,23.223,25.09414,0.60752,0.97386,66.44,0.6644,0.6838,0.6644,0.66343,6644,3356,3356,86644,,
CIFAR10,CNN,0.1,canberra,11,3.07335,72.886,22.94579,24.85503,0.60047,0.91614,68.76,0.6876,0.69196,0.6876,0.68647,6876,3124,3124,86876,,
CIFAR10,CNN,0.1,canberra,12,3.02514,69.304,21.46211,24.7636,0.61688,0.96416,66.62,0.6662,0.67156,0.6662,0.66435,6662,3338,3338,86662,,
CIFAR10,CNN,0.1,canberra,13,2.93652,72.554,21.46499,24.69632,0.58431,0.95276,67.06,0.6706,0.68305,0.6706,0.67252,6706,3294,3294,86706,,
CIFAR10,CNN,0.1,canberra,14,2.86817,74.392,21.30889,25.19425,0.5817,0.95544,67.59,0.6759,0.68452,0.6759,0.67141,6759,3241,3241,86759,,
CIFAR10,CNN,0.1,canberra,15,2.85149,76.026,21.59205,25.34755,0.57006,0.93297,68.56,0.6856,0.6877,0.6856,0.68091,6856,3144,3144,86856,,
CIFAR10,CNN,0.1,canberra,16,2.79773,77.086,21.34044,25.3045,0.56234,0.91511,69.19,0.6919,0.69559,0.6919,0.68852,6919,3081,3081,86919,,
CIFAR10,CNN,0.1,canberra,17,2.75628,78.368,21.27666,25.44503,0.55404,0.91891,69.01,0.6901,0.7027,0.6901,0.69134,6901,3099,3099,86901,,
CIFAR10,CNN,0.1,canberra,18,2.70018,76.27,20.15045,25.71306,0.54701,0.92908,69.03,0.6903,0.69308,0.6903,0.68848,6903,3097,3097,86903,,
CIFAR10,CNN,0.1,canberra,19,2.69877,73.332,19.2389,25.57438,0.5649,0.95218,67.97,0.6797,0.6812,0.6797,0.67584,6797,3203,3203,86797,,
CIFAR10,CNN,0.1,canberra,20,2.64181,77.736,20.01068,25.52185,0.53862,0.92953,68.74,0.6874,0.69719,0.6874,0.68864,6874,3126,3126,86874,1317.291,1244.145
